Trip_ID,medallion, hack_license, vendor_id, rate_code, passenger_count, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_time,pickup_date,dropoff_time,dropoff_date,trip_time
8412,15127AC6906DA5FD3831803DBEDFEE1B,FA6C935B5DD74DFC8501BE77FE4EC4D2,VTS,1,1,0.78,-73.972687,40.754868,-73.971962,40.759514,2,26-05-2013,2,26-05-2013,7
8413,E33E6723E2DCA218ADDC929EC832312E,9CA8140289190DAA94F385FA2C9A7304,VTS,1,1,3.73,40.720444,-74.010239,40.743561,-73.979744,19,21-05-2013,19,21-05-2013,16
8414,B638A1E0B6C96839438C387FD5A51440,E5C19EBABB8E47E1913EC8D90F4A6B8E,VTS,2,5,19.07,-73.786728,40.641163,-73.990227,40.767159,0,23-05-2013,0,23-05-2013,30
8415,9BAD1E076BF322FC2DB7358F7A4E9BE4,A4C847443B1F10548C60C58C54525C77,VTS,1,5,1.22,40.799454,-73.943336,40.790009,-73.952156,22,21-05-2013,22,21-05-2013,7
8416,83D19F7D4A52B852528AB03FF71BFDC9,D219AB1CC682090274900C9F0CB33B38,VTS,1,1,2.64,40.735756,-73.982567,40.721603,-74.009949,6,22-05-2013,6,22-05-2013,11
8417,096635A300028A8FBAD76544A0D66385,C61AFCE6633C6A012DBCD5FEDDDD8FEA,VTS,1,5,0.81,-73.991943,40.738361,-74.004379,40.740623,15,23-05-2013,16,23-05-2013,9
8418,669757ABBCD50D49F8A25A1457F8D94C,75EF0CF4C32C74B9DB24074C5176F6DF,VTS,1,1,13.02,-73.961121,40.806488,-73.986732,40.692024,12,23-05-2013,13,23-05-2013,55
8419,E16051120C9733D3DE8A26A20EA09650,B1F8926740BA4CF4ACCD8DBABA0B9D48,VTS,1,6,2.6,40.742718,-73.916405,40.733887,-73.870682,17,26-05-2013,17,26-05-2013,9
8420,7FDB16DB5A1550399B8F60F0B030B34A,281C30FF97C51D78657F20A6FFC69D34,VTS,2,5,18.29,-73.945335,40.818211,-73.789452,40.647129,6,22-05-2013,7,22-05-2013,37
8421,E686580C1A4A1EB60286F0F0BE98B247,E971DEEC810C4A8D209F69E9749FC579,VTS,1,4,0.2,-73.966133,40.716129,-73.934128,40.713501,1,22-05-2013,1,22-05-2013,6
8422,BFFF75971D466580203702A7989D893B,E4A6317F8A4CA28DF4E04D48857D6545,VTS,1,1,1.48,-73.958138,40.778603,-73.974426,40.791,18,22-05-2013,18,22-05-2013,8
8423,FB7DF5E95B93E25681215A31B039784D,471598D3B47377810EC51E9C54131CF7,VTS,1,1,3.3,-73.947739,40.790092,-73.974823,40.750004,7,24-05-2013,7,24-05-2013,21
8424,8AD5419416F6FC11C7FEE88157D780DB,5A67B20C46454475C8952E07FBFDA5D5,VTS,1,2,1,40.75824,-73.977257,40.745819,-73.986267,16,26-05-2013,16,26-05-2013,6
8425,DDF66F69E5A985A19C1C60BF291F3B5E,A3872659326766DB4D0530B67955FD6B,VTS,1,1,3.77,-73.954521,40.718845,-74.004539,40.708286,23,21-05-2013,23,21-05-2013,21
8426,9B4420CBAFD6EFE0433A7B943F4A3D92,42AE60031FA2FA2EB1A53C4169E1120F,VTS,1,5,1.72,40.774181,-73.961609,40.756851,-73.978294,6,23-05-2013,6,23-05-2013,8
8427,4B3E5CA8F5D83D9402E89162239BE640,216256AA1ACEBF70739BA319BAB89DF8,VTS,1,1,1.97,-73.977058,40.787937,-73.985214,40.763657,2,23-05-2013,2,23-05-2013,5
8428,696A7ECC869379ED31033CC897A42BFC,943425CFD49218C7E5F8B24307DDFA60,VTS,1,1,1.01,-73.971771,40.758476,-73.985764,40.758247,22,22-05-2013,22,22-05-2013,9
8429,9BA0A7F9E143615D6168F9A8DD42EACF,28021E09FAC8AE26DCEF505A3A9A8812,VTS,1,1,0.79,40.778156,-73.981819,40.76757,-73.981323,6,22-05-2013,7,22-05-2013,3
8430,4045D62F809EDC46C828FF2065961F10,4460BA19D548370C8F150FCDF3372D56,VTS,1,5,1.08,-73.975075,40.765099,-73.97937,40.775173,12,26-05-2013,12,26-05-2013,5
8431,5790EA1A16A18ECE812979A39AFCFD1A,8FA961982C3FEF4386FB05B4667A2580,VTS,1,1,0.1,-73.992889,40.736656,-74.001312,40.726372,20,21-05-2013,20,21-05-2013,14
8432,4B20C5B8EBF5D6A4A14C928DF5AD99E9,4FC128B1AFB0D15D122740509FFB8AEA,VTS,1,1,3.36,40.761215,-73.978622,40.780735,-73.958809,21,23-05-2013,21,23-05-2013,16
8433,A610EB76A2EA1260A22A3526F3261AC3,44E4955DE359FE7F991A41E25A608ECD,VTS,1,1,1.08,-73.98999,40.767956,-74.002548,40.760677,20,21-05-2013,20,21-05-2013,3
8434,229466C13D0A04ED146C24AAB1685D81,92BE20F751D8833F6E3EB0E97FC638AB,VTS,1,1,1.98,40.722965,-73.994461,40.744534,-73.991005,1,24-05-2013,1,24-05-2013,8
8435,9036E35F54F79381908BA126A118B385,FCA573D9BDC079E5BBB9235BEE5F60FF,VTS,1,1,5.52,-73.990761,40.745285,-73.958,40.732197,20,21-05-2013,21,21-05-2013,20
8436,B279629BCCC11F6C13690E542372BDB0,115EA9AAA8CFCABD7FE6BF2555111504,VTS,1,1,1.69,-73.994034,40.741146,-73.977516,40.759209,11,24-05-2013,11,24-05-2013,12
8437,9DA4949196FD93E20A63C67B1916F38D,3AC0043FD88979C986529DA9D1EB0838,VTS,1,2,0.81,-73.999535,40.733528,-73.986099,40.727951,19,26-05-2013,19,26-05-2013,4
8438,A087416CD2066F3680474283284B047C,5A5B616E8E677B6A32E66626CF7FF7D2,VTS,1,1,1.84,40.752525,-73.975334,40.770199,-73.966064,11,23-05-2013,12,23-05-2013,13
8439,4004F56F4F77866DBFB567581B21A436,B7DCF80C63CB2C2AC83A6BBDE479E483,VTS,1,5,1.65,40.708752,-74.013542,40.728649,-73.999969,13,26-05-2013,13,26-05-2013,7
